2025-05-04 00:00:00 INFO  r.s.s.s.impl.RequestServiceImpl - Updated 0 overdue requests
2025-05-04 00:07:12 INFO  r.s.s.aspects.LoggingAspect - << findAllLibraries() - result: [Library(id=1, name=kzkz333, address=Улица Евва д4ом Макеева 99)]
2025-05-04 00:07:12 INFO  r.s.s.aspects.LoggingAspect - << incrementVisitCount() - result: null
2025-05-04 00:09:38 INFO  r.s.s.aspects.LoggingAspect - << findAllLibraries() - result: [Library(id=1, name=kzkz333, address=Улица Евва д4ом Макеева 99)]
2025-05-04 00:09:38 INFO  r.s.s.aspects.LoggingAspect - << incrementVisitCount() - result: null
2025-05-04 00:09:38 INFO  r.s.s.aspects.LoggingAspect - << findAllLibraries() - result: [Library(id=1, name=kzkz333, address=Улица Евва д4ом Макеева 99)]
2025-05-04 00:09:38 INFO  r.s.s.aspects.LoggingAspect - << incrementVisitCount() - result: null
2025-05-04 00:11:32 INFO  r.s.s.aspects.LoggingAspect - << getBooksByLibraryId() - result: [Book(id=1, title=дфд335е32, author=агра, year=1930)]
2025-05-04 00:11:32 INFO  r.s.s.aspects.LoggingAspect - << incrementVisitCount() - result: null
2025-05-04 00:25:47 INFO  r.s.s.aspects.LoggingAspect - << getBooksByLibraryId() - result: [Book(id=1, title=дфд335е32, author=агра, year=1930)]
2025-05-04 00:25:47 INFO  r.s.s.aspects.LoggingAspect - << incrementVisitCount() - result: null
2025-05-04 00:25:48 INFO  r.s.s.aspects.LoggingAspect - << getBooksByLibraryId() - result: [Book(id=1, title=дфд335е32, author=агра, year=1930)]
2025-05-04 00:25:48 INFO  r.s.s.aspects.LoggingAspect - << incrementVisitCount() - result: null
2025-05-04 00:25:48 INFO  r.s.s.aspects.LoggingAspect - << getBooksByLibraryId() - result: [Book(id=1, title=дфд335е32, author=агра, year=1930)]
2025-05-04 00:25:48 INFO  r.s.s.aspects.LoggingAspect - << incrementVisitCount() - result: null
